"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P1607S1";"P1607S2";"P1607S3";"P1607S6";"P1607S4";"P1607S5";"P1283S1";"P1283S2";"P1283S3";"P1283S4";"P1283S5";"P1283S6";"P597";"P1197S1";"P1197S2";"P1197S3";"P1197S4";"P1197S5";"P1197S7";"P1197S6";"P1197S8";"P1196S1";"P1196S2";"P1196S3";"P1196S4";"P1196S5";"P1196S6";"P1196S8";"P1196S7";"P1196S9";"P598";"P599S3";"P599S4";"P599S5";"P1194S1";"P1194S2";"P1194S5";"P1194S3";"P1194S4";"P1194S6";"P1194S7";"P1193";"P1192";"P1955";"P529";"P1191";"P1187";"P600";"P1107";"P1608";"P1609";"P1106"
503527;237;1;1;1;45.5436771888454;;;;;;2;1;;;;;;2;1;;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;3;5;"1";2;;2;;;;;6
503548;237;2;1;2;70.5460261004796;;1;;;;;1;;;;;;8;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;4;3;"1";2;;2;;;;;2
503574;237;2;1;2;55.8172093208889;;;;;;2;;1;;;;;8;;;;;;1;;;;;;;;;;2;;;1;2;2;1;;;;;;;4;4;"2";2;;1;2;4;1;;
503605;237;1;1;1;150.706312135076;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;4;1;"1";2;;2;;;;;3
503611;237;2;1;2;67.4146313457026;1;;;;;;1;;;;;;6;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;3
503635;237;1;1;1;75.3531560675382;1;;;;;;;;1;;;;5;1;;;;;;;;1;;;;;;;;;2;1;2;2;1;;;;;;;8;4;"2";2;;1;3;3;1;;
503638;237;1;1;1;61.0178970169234;1;;;;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;3
503649;237;1;1;1;472.194523621235;;;;;;2;1;;;;;;6;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;3;4;"1";2;;2;;;;;6
503651;237;1;1;1;471.916732287865;;;;;;2;1;;;;;;8;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;9;5;"1";2;;2;;;;;6
503671;237;1;1;1;396.939646395439;;;;;;2;1;;;;;;6;1;;;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;6
503688;237;1;1;1;752.72597367054;;;;;1;;;;;1;;;2;;;1;;;;;;;;;;;;;2;;;2;2;2;1;;;;;;;5;2;"2";2;;1;1;4;1;;
503691;237;1;1;1;65.4512279273049;;;;;1;;1;;;;;;1;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;3;2;"2";1;2;2;;;;;6
503781;237;2;1;2;104.521107273072;1;;;;;;;;;1;;;2;;;;;1;;;;1;;;;;;;;;1;2;1;2;;1;;;;1;;10;3;"2";2;;2;;;;;2
503787;237;1;1;1;87.8098298252271;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;4;5;"1";2;;2;;;;;6
