"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P553";"P553S1";"P1379";"P1390S1";"P1390S2";"P1390S3";"P1390S5";"P1390S4";"P1389";"P1386";"P1385";"P1380S1";"P1380S2";"P1380S3";"P1380S5";"P1380S6";"P1367S1";"P1367S4";"P1367S5";"P1367S2";"P1367S3";"P554";"P555S1";"P555S2";"P555S7";"P555S3";"P555S4";"P555S5";"P555S6";"P555S8";"P555S9";"P555S10";"P555S11";"P1592S1";"P1592S2";"P1592S3";"P1592S4";"P1228";"P557";"P558";"P1119";"P1593";"P1591";"P1214";"P1368"
503446;237;1;1;1;1054.25033576727;2;1;1;2;2;2;1;2;4;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;7;2
503456;237;1;1;1;947.475446132122;1;1;1;2;1;2;2;2;5;2;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2
503520;237;1;1;1;590.52624157832;7;1;1;1;1;1;2;2;5;2;2;;;;;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;2;1;1;;;2
503527;237;1;1;1;45.5436771888454;9;1;1;1;1;1;1;2;6;1;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;;2;1;1;3;1;5;1;;;2
503553;237;1;1;1;66.5893637045441;11;1;3;1;2;2;2;2;4;3;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
503575;237;1;1;1;67.8536980367051;3;1;1;2;1;2;2;2;4;3;1;2;2;2;2;2;1;2;2;2;2;1;2;1;1;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;4;2;1;;2
503648;237;1;1;1;638.199467671099;3;1;1;1;1;2;2;2;6;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
503660;237;1;1;1;762.374193104153;6;1;1;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;4;2
503675;237;1;1;1;820.506818654804;1;1;1;2;2;2;1;2;5;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
503697;237;1;1;1;92.2778659606358;6;2;1;1;1;1;2;2;2;4;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
503735;237;1;1;1;71.0440312736606;6;1;3;2;1;2;2;2;2;4;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
503736;237;1;1;1;86.3314389010309;6;1;1;1;2;1;2;2;5;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;1;1;1;5;2;1;;2
503751;237;1;1;1;660.393175114568;8;1;3;2;2;1;2;2;3;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;;2;2;2;;;;;;3;2
503783;237;1;1;1;105.282573904331;3;1;6;1;2;2;2;2;3;2;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;5;1
