"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P2069";"P2070";"P1962";"P1964S1";"P1964S2";"P1964S3";"P1964S4";"P1964S5";"P1964S6";"P1964S7";"P1964S8";"P1965";"P1966";"P2071";"P1967";"P1319S1";"P1319S2";"P1319S3";"P1319S5";"P1319S6";"P2072S1";"P2072S2";"P2072S3";"P2072S4";"P2073";"P560";"P2074";"P2075";"P1605";"P1606";"P2076";"P1968"
538846;237;1;1;1;1937.89101320394;2;9;1;1;;;;;;;;3;6;1;1;2;2;2;2;2;1;;2;2;1;2;2;3;1;;;2
540042;237;1;1;1;421.542094883602;1;2;1;;;;;;1;;;1;2;1;1;2;2;2;2;2;2;;2;2;2;;;;;;6;2
540199;237;1;1;1;1427.72836789764;1;6;1;;;;;;1;;;3;1;3;2;;;;;;2;2;2;2;2;;;;;;6;2
540309;237;1;1;1;223.384352688196;1;2;2;1;;;;;;;;3;5;9;2;;;;;;2;;2;2;2;;;;;;7;2
540537;237;1;1;1;337.883996926458;1;1;1;;;;;;1;;;3;1;3;2;;;;;;2;2;2;2;2;;;;;;3;2
541742;237;1;1;1;1257.51074087287;1;7;1;;;;;1;;;;3;3;3;2;;;;;;2;2;2;2;2;;;;;;6;2
541764;237;1;1;1;931.993746377389;1;12;1;;;;;;1;;;3;2;1;1;2;2;2;2;2;2;;2;2;2;;;;;;3;2
542517;237;1;1;1;627.171300287841;1;8;1;;;;;;1;;;3;3;3;1;2;2;2;2;2;2;;2;2;2;;;;;;3;2
542529;237;1;1;1;1576.34185389032;2;5;1;1;;;;;;;;3;4;1;2;;;;;;1;;1;1;1;1;1;5;2;4;;2
544222;237;1;1;1;972.026431232003;1;3;1;;;1;;;;;;3;2;2;2;;;;;;2;;2;2;2;;;;;;6;2
544225;237;1;1;1;937.432370949444;1;12;1;;;;;;1;;;3;2;4;2;;;;;;2;;2;2;2;;;;;;6;2
544772;237;1;1;1;2760.80804882352;1;9;1;;;;;;1;;;3;1;4;1;2;2;2;2;2;2;;2;2;2;;;;;;3;2
547928;237;1;1;1;59.0351412152891;1;4;2;;;;;;1;;;3;1;2;2;;;;;;2;2;2;2;2;;;;;;3;2
549675;237;1;1;1;369.041257963369;1;12;2;1;;;;;;;;1;5;4;2;;;;;;2;;2;1;1;1;1;2;1;;;2
