"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P566";"P1260";"P1263";"P1219S1";"P1219S2";"P1219S3";"P1219S4";"P1219S5";"P1219S6";"P1219S7";"P524";"P1252";"P1262";"P1253";"P1256";"P1247";"P1246S1";"P1246S2";"P1246S3";"P1246S5";"P1246S6";"P1232S1";"P1232S2";"P1232S3";"P1232S4";"P1232S5";"P1232S6";"P1232S7";"P1595";"P1238";"P571";"P572";"P573";"P1111";"P1596";"P1597";"P1110";"P1233"
503976;237;1;1;1;326.576829268295;3;1;1;;;;1;;1;;2e+06;4;1;4;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;2
504007;237;2;1;2;67.1210972789062;5;2;1;;1;;;;;;40000;3;1;4;2;;;;;;;2;2;2;2;2;2;;2;1;1;1;1;5;1;;;1
504034;237;2;1;2;61.470246227771;9;2;1;;1;;;;;;70000;5;1;4;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
504059;237;1;1;1;67.3740400452315;2;2;1;;;;;;;1;1e+05;4;1;3;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;1
504061;237;2;1;2;61.470246227771;3;1;1;;1;;;;;;2e+05;4;1;3;2;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;2
504072;237;1;1;1;66.799822264439;12;3;2;;;;;;;;1e+06;4;1;3;4;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
504084;237;1;1;1;67.3740400452315;2;1;1;;;;;;1;;2e+05;5;1;1;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
504104;237;1;1;1;66.9221532846988;7;1;1;;1;1;;1;;;4e+06;4;1;1;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;2
504270;237;2;1;2;60.9960879877301;9;1;1;;1;;;;;;120000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
504274;237;1;1;1;58.043701711774;7;1;1;1;1;;;;;;160000;4;1;3;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
