"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P566";"P1260";"P1263";"P1219S1";"P1219S2";"P1219S3";"P1219S4";"P1219S5";"P1219S6";"P1219S7";"P524";"P1252";"P1262";"P1253";"P1256";"P1247";"P1246S1";"P1246S2";"P1246S3";"P1246S5";"P1246S6";"P1232S1";"P1232S2";"P1232S3";"P1232S4";"P1232S5";"P1232S6";"P1232S7";"P1595";"P1238";"P571";"P572";"P573";"P1111";"P1596";"P1597";"P1110";"P1233"
517379;237;1;1;1;82.4610695106984;3;1;1;;;;;;;1;5e+06;5;1;1;1;2;;;;;;2;2;2;2;2;1;;2;1;1;3;1;2;1;;;2
517404;237;1;1;1;109.714389740183;7;1;1;;1;;;;;;80000;4;1;4;1;2;;;;;;2;2;2;2;1;2;;2;2;;;;;;;3;2
517419;237;1;1;1;93.7976646891957;11;1;1;;;;;;1;;250000;5;1;3;1;2;;;;;;2;2;2;2;2;2;;2;1;1;3;1;5;1;;;1
517424;237;1;1;1;93.4248880531333;3;2;1;;1;;;;;;15000;4;1;9;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
517461;237;1;1;1;83.5410048188114;1;2;1;;;1;;;;;50000;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
517472;237;3;1;3;100.66758514259;10;1;1;;1;;;;;;1e+05;4;1;3;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
517474;237;1;1;1;47.0929399376513;3;3;1;;;1;;;;;110000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
517479;237;10;1;10;151.818361301967;1;3;2;;;;;;;;350000;4;1;4;2;2;;;;;;;2;;2;2;;;1;2;;;;;;;7;2
517486;237;1;1;1;102.897585738099;12;1;1;;;;;1;;;30000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
517497;237;1;1;1;79.2616249655857;7;1;1;;1;;;;;;150000;5;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
517510;237;1;1;1;86.4698485405152;10;1;1;;1;;;;;;50000;4;1;1;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
517527;237;1;1;1;124.731218664976;12;2;1;;1;1;;;;;60000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
517529;237;1;1;1;93.5499212188046;10;2;1;;;1;1;1;;;3e+05;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
517544;237;1;1;1;81.0965240441265;3;1;1;;;;;1;;;98;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
517589;237;1;1;1;98.7414277149047;12;1;1;;1;;;1;;;1200000;4;1;4;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;3;2
517607;237;4;1;4;198.406443204062;12;1;1;;;;;;1;;1500000;4;1;1;1;2;;;;;;2;2;1;2;2;2;;2;1;1;1;1;2;2;3;;2
517608;237;1;1;1;501.962794738937;7;1;1;;;1;;;;;1e+06;3;1;2;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
517623;237;1;1;1;254.97475593757;11;1;1;;1;;;;;;2e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
517635;237;2;1;2;268.179618281176;6;3;2;;;;;;;;2e+05;2;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
517639;237;1;1;1;229.079119917826;6;1;1;;1;;;;;;1500000;5;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
517644;237;2;1;2;274.244036367942;8;1;1;;1;;;;;;1350000;3;1;4;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
517645;237;4;1;4;323.917020860789;6;1;1;;1;;;;;;2e+06;4;1;3;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
517654;237;1;1;1;287.846192359881;11;3;2;;;;;;;;1e+05;4;1;3;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
517674;237;1;1;1;327.828612402481;7;1;1;;;1;;;;;6e+05;5;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
517699;237;2;1;2;246.277340829534;12;1;1;;;;;1;;;1e+05;3;1;4;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
517699;237;3;1;3;246.277340829534;3;1;1;;1;;;;;;1e+05;3;1;4;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
517707;237;2;1;2;250.981397369468;2;1;1;;1;;;;;;1e+06;5;1;3;1;2;;;;;;2;2;2;1;2;2;;2;2;;;;;;;3;2
517714;237;1;1;1;224.302079223807;12;1;1;;1;;;;;;80000;3;1;1;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
517715;237;1;1;1;246.204356675449;3;1;1;;1;;;;;;4e+05;2;1;4;1;2;;;;;;1;2;1;1;2;1;;2;2;;;;;;;3;2
517755;237;2;1;2;40.2845733991004;3;1;1;;;;;;;1;7e+05;4;1;3;2;2;;;;;;2;2;2;1;2;1;;2;1;1;4;;1;;;;2
517757;237;1;1;1;44.9944337716574;8;1;1;1;1;;;;1;;1300000;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
517773;237;1;1;1;45.4699510813742;10;2;1;;1;;;;;;40000;4;1;2;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
517777;237;3;1;3;40.6982721628379;12;2;1;;1;;;;;;25000;4;1;9;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;7;2
517788;237;1;1;1;41.8493963665184;12;1;1;;;;;;1;;8e+05;5;1;3;1;2;;;;;;2;2;2;2;2;2;;2;1;1;3;2;5;2;3;;2
517941;237;2;1;2;629.780758241428;9;2;1;1;1;1;;;;;350000;2;1;1;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
517985;237;4;1;4;69.3008700128815;1;1;1;;1;;;;;;120000;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
518127;237;1;1;1;61.8406151222726;11;1;1;;1;;;;;;5e+05;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
518168;237;3;1;3;76.3016214620683;9;2;2;;;;;;;;1500000;2;1;4;1;2;;;;;;;2;;1;2;;;2;1;1;1;1;2;1;;;2
518175;237;1;1;1;60.735094072824;3;1;1;;;;;1;;;3e+05;4;1;4;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;5;2
518188;237;1;1;1;74.3926178621974;5;1;1;1;;;;;;;1250000;5;1;1;4;2;;;;;;2;2;1;1;2;1;;2;2;;;;;;;3;2
518196;237;2;1;2;81.3960167268366;11;1;1;;1;;;;;;99;4;1;9;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
518241;237;1;1;1;74.3926178621974;8;1;1;;;;;1;;;1e+05;3;1;2;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
518246;237;2;1;2;60.5613389941586;3;3;2;;;;;;;;650000;3;1;3;3;;;;;;;;2;;2;2;;;2;2;;;;;;;4;2
518246;237;3;1;3;60.5613389941586;5;2;1;;1;;;1;;;70000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
518254;237;3;1;3;72.9172939545014;11;2;1;;1;;;;;;40000;5;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
518268;237;1;1;1;73.3370449065971;7;1;1;;;;;;1;;3e+05;5;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;6;2
518312;237;1;1;1;2043.93279640658;7;3;2;;;;;;;;380000;3;1;1;2;;;;;;;;1;;2;1;;;2;2;;;;;;;3;2
518320;237;4;1;4;1905.81687437139;10;3;2;;;;;;;;3e+05;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;6;2
518400;237;4;1;4;49.5100225341019;12;2;1;;;1;;;;;25000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
518408;237;2;1;2;52.3212666992465;12;1;1;;1;;;;;;1200000;5;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
518452;237;1;1;1;60.9960879877301;3;1;1;;1;;;;;1;120000;4;1;3;3;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
518460;237;1;1;1;721.465315670146;8;1;1;;;;;1;;;25000;3;1;1;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
518491;237;1;1;1;312.486881192109;11;1;1;;1;;;;;;5e+05;5;1;9;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
518526;237;1;1;1;333.202066988546;1;3;2;;;;;;;;1e+06;3;1;3;4;;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
518665;237;2;1;2;314.008425757185;10;2;2;;;;;;;;2e+06;2;1;2;1;2;;;;;;;2;;2;2;;;2;1;1;2;2;5;1;;;1
518709;237;1;1;1;46.5739078582752;7;2;2;;;;;;;;4e+06;2;1;4;1;1;1;2;2;2;2;;2;;2;2;;;1;1;1;2;1;5;1;;;2
518799;237;1;1;1;1117.42422206744;4;3;2;;;;;;;;3e+05;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
518953;237;5;1;5;307.685180242164;7;2;2;;;;;;;;6500000;2;1;3;1;1;1;2;2;2;2;;2;;2;2;;;2;2;;;;;;;2;2
518964;237;2;1;2;1588.26566384354;6;1;2;;;;;;;;10300000;1;2;4;5;1;2;1;2;2;2;;2;;2;2;;;1;1;1;2;2;4;1;;;2
518973;237;2;1;2;2070.42523127945;5;3;2;;;;;;;;6e+05;4;1;4;1;2;;;;;;;1;;2;2;;;2;1;1;2;2;2;1;;;1
519065;237;3;1;3;70.31527215181;10;2;1;;;;;;;1;5000;3;1;4;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
519067;237;5;1;5;74.3688128244474;2;3;2;;;;;;;;150000;4;1;4;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
519072;237;1;1;1;58.1646804420766;2;1;1;;1;;;;;;2e+05;3;1;4;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
519081;237;1;1;1;68.4847388026419;3;2;2;;;;;;;;4e+06;3;1;3;1;;;;;;;;1;;1;2;;;1;1;1;2;2;2;1;;;1
519083;237;2;1;2;118.704165434592;2;3;2;;;;;;;;250000;2;1;4;1;1;2;1;2;2;2;;1;;2;2;;;1;1;1;1;1;2;1;;;2
519106;237;1;1;1;59.3520827172958;3;3;2;;;;;;;;2e+05;4;1;3;2;2;;;;;;;1;;2;2;;;2;2;;;;;;;6;2
519153;237;2;1;2;59.3520827172958;3;1;1;1;;;;;;;1200000;5;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
519241;237;1;1;1;342.110039140008;6;2;2;;;;;;;;3e+06;4;1;4;1;2;;;;;;;1;;2;2;;2;2;1;1;1;1;5;2;2;;2
519272;237;1;1;1;369.353369262018;9;3;2;;;;;;;;2e+06;4;1;3;5;2;;;;;;;1;;2;2;;2;2;1;1;1;1;5;1;;;2
519278;237;4;1;4;289.697451441111;6;2;1;;1;;;;;;50000;3;1;2;1;;;;;;;2;2;2;2;2;2;2;2;2;;;;;;;5;2
519287;237;1;1;1;1331.18243401763;3;1;1;;1;;;;;;70000;4;1;9;1;2;;;;;;2;2;2;2;2;1;;2;1;1;1;1;4;2;4;;2
519294;237;5;1;5;79.5112905326529;10;2;1;;1;;;;;;98;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
519306;237;1;1;1;97.9974632267031;11;3;2;;;;;;;;2e+06;4;1;2;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;4;2
519359;237;2;1;2;128.007015785988;5;2;2;;;;;;;;3e+06;2;2;2;1;1;1;2;2;2;2;;2;;2;2;;;1;1;1;3;1;5;1;;;1
519369;237;2;1;2;72.5762520213666;11;1;1;;1;1;;1;;;6e+05;4;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;4;2
519370;237;1;1;1;72.5762520213666;12;1;1;;1;;;1;;;4e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;4;2
519382;237;3;1;3;63.0516985683923;9;3;2;;;;;;;;1e+05;4;1;2;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
519403;237;1;1;1;68.6431268694483;7;1;1;;;;;1;;;1e+05;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
519414;237;1;1;1;74.0164513658371;7;1;1;;1;;;;;;1e+05;3;1;3;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
519527;237;2;1;2;43.664979292143;11;1;1;;1;;;;;;9e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
519536;237;1;1;1;39.5162734134292;6;1;1;;1;;;;;;270000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
519553;237;6;1;6;44.6521599110985;12;1;1;;;;;;1;;2e+06;5;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
519593;237;1;1;1;49.4354072382969;12;2;1;;;;;;;1;20000;4;1;3;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
519600;237;2;1;2;41.226423326696;8;2;1;;1;;;;;;30000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
519710;237;1;1;1;61.2599253112343;6;1;1;;;;;;;1;3e+05;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;7;2
519768;237;3;1;3;59.9895684469119;11;1;1;;;;;1;;;1e+05;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
519800;237;1;1;1;61.2599253112343;3;2;1;;1;;;;;;70000;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;1
519801;237;1;1;1;73.1170389462028;10;1;1;;;;;1;;;30000;4;1;9;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
519803;237;1;1;1;67.4114421844254;12;1;1;;1;;;;;1;98;4;1;9;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
519932;237;1;1;1;144.352345039791;6;1;1;;1;;;;;;1e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
519945;237;1;1;1;1964.50558463923;10;2;2;;;;;;;;5500000;4;1;1;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
519982;237;1;1;1;59.6709492131925;5;1;1;;;;;1;;;50000;3;1;2;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
520048;237;1;1;1;43.5722538669732;9;1;1;;1;;;;;;4e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
520110;237;1;1;1;288.038341960906;11;3;2;;;;;;;;4e+05;4;1;2;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;9;2
520182;237;3;1;3;275.185679120524;12;1;1;1;;;;;;;4e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
520335;237;1;1;1;40.1113487447886;6;3;2;;;;;;;;150000;4;1;2;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
520404;237;3;1;3;37.7238726567578;9;1;1;;;;;;1;;3e+05;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
520425;237;4;1;4;42.6679560116195;6;2;2;;;;;;;;2500000;2;1;3;3;2;;;;;;;2;;2;2;;;1;1;1;3;1;2;2;3;;2
520473;237;1;1;1;128.581533563456;8;1;1;;1;;;;;;2e+05;3;1;4;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
520668;237;1;1;1;148.060972777115;2;1;1;;1;;;;;;1e+05;4;1;1;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
520703;237;1;1;1;251.190237785156;4;1;1;;1;;;;;;60000;4;1;1;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
520736;237;1;1;1;113.861761104198;3;1;1;;;;;1;;;50000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;7;2
520753;237;1;1;1;530.517425299894;11;1;1;;1;;;;;;5e+05;5;1;1;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
520786;237;1;1;1;4.43251199073866;1;2;2;;;;;;;;4e+06;2;2;4;1;2;;;;;;;2;;1;2;;2;2;1;1;1;1;2;2;2;;2
520834;237;3;1;3;104.459320931851;11;2;2;;;;;;;;4e+06;4;1;3;1;2;;;;;;;2;;2;2;;;2;1;1;4;;5;;;;2
521064;237;1;1;1;1753.27956163814;3;3;2;;;;;;;;80000;3;1;3;5;;;;;;;;2;;2;2;;2;2;2;;;;;;;6;2
521094;237;1;1;1;1420.72272608289;8;2;2;;;;;;;;5800000;4;2;2;1;2;;;;;;;2;;1;2;;;2;1;1;1;1;5;1;;;1
521102;237;1;1;1;1320.13265812323;5;1;1;;;;1;1;1;;1500000;5;1;1;1;2;;;;;;2;2;2;2;2;1;;1;2;;;;;;;6;2
521130;237;1;1;1;1216.6714403189;9;3;2;;;;;;;;99;2;1;1;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
521136;237;1;1;1;1040.73063785558;7;3;2;;;;;;;;6e+05;2;1;4;1;9;;;;;;;1;;2;2;;;2;2;;;;;;;4;2
521156;237;2;1;2;990.168573558135;8;1;1;;1;;;;;;3e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
521166;237;1;1;1;990.168573558135;2;1;1;;;;;;1;;2e+05;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
521175;237;1;1;1;887.042117212494;5;1;1;;1;;;;;;150000;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
521182;237;1;1;1;990.168573558135;2;3;2;;;;;;;;9e+05;3;1;4;2;;;;;;;;2;;2;2;;;2;2;;;;;;;4;2
521183;237;1;1;1;972.496192109141;4;2;1;;1;;;;;1;1e+05;5;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;9;2
521194;237;2;1;2;1158.2630640027;1;3;2;;;;;;;;980000;4;1;3;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;4;2
521199;237;4;1;4;1745.85372294289;6;1;1;;;1;;;;;550000;5;1;3;4;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;9;2
521202;237;1;1;1;1944.99238421828;7;3;2;;;;;;;;1200000;2;1;4;1;1;2;1;2;1;2;;2;;2;1;;;2;2;;;;;;;9;2
521202;237;2;1;2;1944.99238421828;10;3;2;;;;;;;;1500000;3;1;3;4;;;;;;;;2;;2;2;;;1;1;1;2;2;5;2;2;;2
521209;237;2;1;2;981.936101710806;6;1;1;;1;;;;;;50000;4;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
521215;237;2;1;2;1043.869840676;10;3;2;;;;;;;;1500000;2;1;1;1;1;1;2;2;2;2;;1;;2;2;;;2;2;;;;;;;3;2
521224;237;1;1;1;1083.07366243869;6;3;2;;;;;;;;7e+05;3;1;1;2;;;;;;;;1;;2;2;;;2;2;;;;;;;6;2
521248;237;1;1;1;4822.10788651944;8;3;2;;;;;;;;2e+05;4;1;4;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
521252;237;3;1;3;6298.82504114983;1;3;2;;;;;;;;650000;4;2;3;1;2;;;;;;;1;;2;2;;;2;1;1;4;;4;;;;1
521255;237;1;1;1;4073.78663823031;1;3;2;;;;;;;;3e+05;4;1;4;2;2;;;;;;;1;;2;2;;;2;2;;;;;;;7;2
521260;237;1;1;1;3659.66429851631;7;3;2;;;;;;;;250000;4;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
521264;237;3;1;3;2245.81994886291;11;2;2;;;;;;;;2e+06;4;1;4;1;2;;;;;;;2;;2;2;;;2;1;1;1;1;5;1;;;1
521304;237;1;1;1;75.9162466651119;8;1;1;;1;;;;;;130000;3;1;4;2;;;;;;;2;2;1;2;2;1;;2;2;;;;;;;3;2
521304;237;3;1;3;75.9162466651119;5;3;1;;;1;;;;;20000;4;1;2;7;2;;;;;;1;2;2;2;2;2;;2;2;;;;;;;5;2
521318;237;1;1;1;60.145927263539;6;3;2;;;;;;;;150000;4;1;2;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
521331;237;3;1;3;72.3531419981524;9;3;2;;;;;;;;3e+05;2;2;4;1;1;2;1;2;2;2;;2;;1;2;;;1;1;1;4;;5;;;;2
521347;237;1;1;1;74.9595983385623;10;2;1;;1;;;;;;50000;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;1;1;4;;2;;;;2
521389;237;1;1;1;70.5460261004796;2;1;1;1;;;;;;;1e+05;5;1;3;1;2;;;;;;1;2;2;2;2;2;;2;2;;;;;;;3;2
521419;237;2;1;2;72.7811237319609;12;2;1;;1;1;;;;;90000;5;1;3;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
521425;237;4;2;1;66.0300012853445;8;3;2;;;;;;;;150000;4;1;4;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
521428;237;1;1;1;55.4285729204864;10;1;1;;;;;;1;;150000;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
521460;237;1;1;1;323.826459092222;4;2;2;;;;;;;;3e+06;2;2;3;1;1;1;2;2;2;2;;1;;2;2;;2;1;1;1;1;1;5;2;4;;2
521505;237;3;1;3;85.0849409561954;8;2;1;;1;;;;;;25000;4;2;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
521513;237;1;1;1;59.4252482747277;9;1;1;;1;;;;;;250000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
521635;237;2;1;2;89.2168742619304;1;3;2;;;;;;;;3e+05;4;1;4;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;7;2
521648;237;1;1;1;107.727054679016;11;1;1;;;;;;1;;2e+05;4;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
521659;237;1;1;1;97.1885613872127;9;1;1;;1;;;1;;;5e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;4;2
521660;237;1;1;1;72.5762520213666;12;1;1;;1;;;1;;;1e+06;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
521663;237;1;1;1;63.0516985683923;12;1;1;;1;1;;1;;;6e+05;4;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
521663;237;3;1;3;63.0516985683923;12;1;1;;1;1;;1;;;6e+05;4;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
521675;237;1;1;1;71.9997342870076;7;1;1;;1;;;1;;;1e+06;4;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
521676;237;3;1;3;101.095348838445;7;1;1;;1;;;;;;60000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
521678;237;1;1;1;100.117405108917;4;1;1;1;1;;;;;;270000;4;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
521679;237;2;1;2;81.6730417784855;6;1;1;1;;;;;;;3e+05;4;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;2;2;;;;;;;6;2
521682;237;1;1;1;81.0965240441265;12;2;1;;;1;;;;;1e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
521686;237;1;1;1;72.5762520213666;2;1;1;;;1;;;;;1e+05;4;1;2;2;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;6;2
521690;237;1;1;1;101.095348838445;11;1;1;;1;;;;;;80000;3;1;4;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
521711;237;4;2;1;91.197686177442;11;1;1;;1;;;;;;70000;4;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
521716;237;1;1;1;68.6431268694483;11;1;1;;1;;;;;;2e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
521744;237;1;1;1;117.735971079009;11;1;1;1;1;;;;;;4e+05;5;1;3;4;2;;;;;;2;2;2;1;2;2;;1;1;1;3;1;5;1;;;2
521758;237;3;1;3;157.78355929281;12;1;1;;;;;1;;;1e+05;5;1;1;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;5;2
521758;237;6;1;6;157.78355929281;7;1;1;;;;;1;;;80000;5;1;4;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;6;2
521758;237;7;1;7;157.78355929281;1;2;1;;1;;;;;;25000;5;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
521783;237;2;1;2;207.176842466183;5;1;1;;;;;1;;;130000;4;1;3;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;7;2
521796;237;3;1;3;354.520280335559;12;3;2;;;;;;;;99;4;1;4;1;2;;;;;;;2;;1;2;;;2;2;;;;;;;1;2
521809;237;2;1;2;240.003300184561;12;1;1;;1;;;;;;197000;5;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
521819;237;2;1;2;192.194481542425;6;1;1;1;;;;;;;80000;5;1;3;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
521820;237;1;1;1;250.981397369468;10;1;1;;;;;;1;1;6e+05;5;1;1;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
521824;237;1;1;1;200.578492326962;9;1;1;;1;;;;;;7e+05;5;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
521836;237;3;1;3;211.757273855837;7;3;2;;;;;;;;120000;4;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;6;2
521852;237;1;1;1;276.538643498931;11;1;2;;;;;;;;2.9e+07;4;1;4;2;2;;;;;;;2;;2;2;;;1;1;1;1;1;1;1;;;2
521864;237;1;1;1;217.812362038556;6;1;1;;;;1;;;;349000;4;1;3;1;2;;;;;;1;1;2;2;2;2;;2;2;;;;;;;4;2
521868;237;2;1;2;224.302079223807;3;1;1;;1;;;;;;9e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;1;1;1;3;1;4;2;5;;2
521870;237;1;1;1;222.480769778604;10;1;1;;1;;;;;;8e+05;5;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
521877;237;1;1;1;371.78791848626;10;1;1;;;;;;;1;1e+05;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
521881;237;1;1;1;250.981397369468;7;1;1;;1;;;;;;50000;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
521885;237;1;1;1;315.908735320731;6;3;2;;;;;;;;2e+05;5;1;4;2;2;;;;;;;1;;1;2;;;2;2;;;;;;;7;2
521886;237;1;1;1;250.981397369468;6;1;1;;1;;;;;;650000;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
521892;237;2;1;2;251.054381523553;2;1;1;;;1;;;;;2e+05;4;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
