"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P587";"P1313";"P1311";"P1308";"P588";"P1306";"P1226S1";"P1226S2";"P1225";"P1298";"P1297";"P1601";"P1294";"P589";"P590";"P1112";"P1602";"P1603";"P1227"
508547;237;3;1;3;975.371359616684;"6";1;7;2;3;1;2;2;6;2;;1;1;1;1;4;2;1;
508609;237;2;1;2;1819.60241954428;"1";1;2;4;2;1;2;2;6;1;1;2;2;;;;;;6
508656;237;1;1;1;358.610385589812;"12";2;4;4;6;2;;;1;1;1;2;2;;;;;;5
508679;237;1;1;1;573.529143555966;"2";1;6;4;1;2;;;6;2;;2;2;;;;;;6
508690;237;3;1;3;69.3586238252604;"11";1;9;1;2;2;;;6;2;;2;2;;;;;;11
508758;237;2;1;2;67.8536980367051;"12";1;6;4;2;2;;;6;1;4;2;2;;;;;;6
508796;237;2;1;2;67.0598534904618;"7";1;7;4;8;2;;;6;1;2;2;2;;;;;;3
508802;237;1;1;1;75.3531560675382;"12";1;7;1;2;2;;;6;1;4;2;2;;;;;;3
508812;237;2;1;2;658.619738948366;"11";1;7;4;2;2;;;6;1;4;2;2;;;;;;3
508816;237;1;1;1;617.006567029324;"1";1;7;3;1;2;;;6;1;4;2;2;;;;;;3
508841;237;2;1;2;658.619738948366;"3";2;7;2;2;2;;;6;1;3;2;2;;;;;;6
508890;237;2;1;2;89.5978661516884;"12";1;1;3;3;2;;;6;2;;1;2;;;;;;3
508949;237;3;1;3;86.5620033278553;"6";1;9;1;6;1;2;2;6;2;;2;2;;;;;;6
509243;237;2;1;2;349.267549824862;"3";1;7;4;2;1;2;2;6;2;;1;1;2;1;4;2;2;
509267;237;2;1;2;292.651238504052;"9";2;1;2;1;2;;;6;1;4;2;2;;;;;;8
509268;237;1;1;1;224.302079223807;"11";1;7;3;1;2;;;6;2;;2;2;;;;;;6
509269;237;1;1;1;257.182453860357;"12";1;7;1;1;2;;;6;1;4;2;2;;;;;;3
509390;237;2;1;2;36.944717863508;"12";1;4;3;3;1;2;1;3;1;2;2;1;1;3;2;2;4;
509399;237;3;1;3;35.8049856965308;"7";1;7;1;2;2;;;6;2;;2;2;;;;;;6
