"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"DEPMUNI";"CIUDADES28";"CLASE";"P1987";"P1988";"P1988S1";"P1989";"P1990"
501607;235;1;1;1;59.3520827172958;"50001";"1";"Cabecera";1;1;4;1;1
501608;235;1;1;1;68.6868879163544;"50001";"1";"Cabecera";1;1;3;2;1
501609;235;1;1;1;62.4834774720727;"50001";"1";"Cabecera";2;1;4;1;1
501610;235;1;1;1;62.4834774720727;"50001";"1";"Cabecera";1;1;4;1;1
501611;235;1;1;1;57.676347505014;"50001";"1";"Cabecera";1;1;3;2;1
501613;235;1;1;1;72.2217613127613;"50001";"1";"Cabecera";1;1;3;1;1
501614;235;1;1;1;65.5124196497973;"50001";"1";"Cabecera";2;1;3;2;1
501615;235;1;1;1;75.3531560675382;"50001";"1";"Cabecera";2;1;3;2;1
501617;235;1;1;1;74.1657537923191;"50001";"1";"Cabecera";2;1;4;1;1
501618;235;1;1;1;59.3520827172958;"50001";"1";"Cabecera";1;1;3;1;1
501619;235;1;1;1;64.1592126843544;"50001";"1";"Cabecera";2;1;3;2;1
501620;235;1;1;1;80.8436723603678;"50001";"1";"Cabecera";2;1;2;3;1
501621;235;1;1;1;59.3520827172958;"50001";"1";"Cabecera";1;1;3;1;1
501622;235;1;1;1;64.8851070622345;"50001";"1";"Cabecera";2;1;3;1;1
501624;235;1;1;1;65.1237832493948;"50001";"1";"Cabecera";1;1;2;2;1
501625;235;1;1;1;55.7898758916383;"50001";"1";"Cabecera";1;1;3;1;1
501626;235;1;1;1;75.3531560675382;"50001";"1";"Cabecera";2;1;2;2;1
501627;235;1;1;1;62.88376428934;"50001";"1";"Cabecera";1;1;3;1;1
501628;235;1;1;1;49.9380566276568;"50001";"1";"Cabecera";1;1;3;1;1
501630;235;1;1;1;813.441580482161;"00000";"1";"Cabecera";2;1;4;1;1
501631;235;1;1;1;617.284358362694;"00000";"1";"Cabecera";2;1;4;2;1
501633;235;1;1;1;617.284358362694;"00000";"1";"Cabecera";1;1;2;1;1
501634;235;1;1;1;617.006567029324;"00000";"1";"Cabecera";2;1;2;3;1
501635;235;1;1;1;607.636138929081;"00000";"1";"Cabecera";1;1;2;1;1
501637;235;1;1;1;628.334201539719;"00000";"1";"Cabecera";1;1;2;1;1
501638;235;1;1;1;979.446524532025;"00000";"1";"Cabecera";2;1;2;2;1
501639;235;1;1;1;937.833352612982;"00000";"1";"Cabecera";2;1;2;1;1
501640;235;1;1;1;658.619738948366;"00000";"1";"Cabecera";2;1;2;2;1
501642;235;1;1;1;606.234515185669;"00000";"1";"Cabecera";1;1;2;2;1
501643;235;1;1;1;843.620572488935;"00000";"1";"Cabecera";2;1;2;2;1
501644;235;1;1;1;617.284358362694;"00000";"1";"Cabecera";1;1;2;1;1
501646;235;1;1;1;777.060591852274;"00000";"1";"Cabecera";2;1;2;1;1
501647;235;1;1;1;607.636138929081;"00000";"1";"Cabecera";2;1;2;2;1
501648;235;1;1;1;552.862277616157;"00000";"1";"Cabecera";2;1;2;2;1
501649;235;1;1;1;106.82901045266;"68001";"1";"Cabecera";2;1;2;3;1
501650;235;1;1;1;71.4279973253233;"68001";"1";"Cabecera";2;1;2;1;2
501651;235;1;1;1;93.3611197070076;"68001";"1";"Cabecera";2;1;2;2;1
501652;235;1;1;1;92.0464413358518;"68001";"1";"Cabecera";2;1;2;2;1
501653;235;1;1;1;75.8126957890275;"68001";"1";"Cabecera";1;1;2;1;1
501654;235;1;1;1;88.0274243564924;"68001";"1";"Cabecera";2;1;2;3;1
501655;235;1;1;1;78.261270973191;"68001";"1";"Cabecera";2;1;2;1;1
501657;235;1;1;1;62.772377705097;"68001";"1";"Cabecera";1;1;2;1;1
501659;235;1;1;1;90.1584608024759;"68001";"1";"Cabecera";2;1;2;2;1
501660;235;1;1;1;100.073261774804;"68001";"1";"Cabecera";2;1;2;1;1
501661;235;1;1;1;75.8126957890275;"68001";"1";"Cabecera";1;1;2;1;1
501662;235;1;1;1;86.7127459853367;"68001";"1";"Cabecera";2;1;2;2;1
501663;235;1;1;1;77.6184560468592;"68001";"1";"Cabecera";2;1;2;1;1
501664;235;1;1;1;93.7976646891957;"68001";"1";"Cabecera";2;1;2;2;1
501665;235;1;1;1;114.992588071644;"68001";"1";"Cabecera";2;1;2;3;1
501666;235;1;1;1;72.5762520213666;"54001";"1";"Cabecera";1;1;1;1;1
501667;235;1;1;1;83.5410048188114;"54001";"1";"Cabecera";1;1;1;1;1
501668;235;1;1;1;98.7414277149047;"54001";"1";"Cabecera";1;1;1;1;1
501669;235;1;1;1;112.086439336576;"54001";"1";"Cabecera";1;1;1;1;1
501670;235;1;1;1;101.559108643601;"54001";"1";"Cabecera";1;1;1;1;1
501671;235;1;1;1;89.2168742619304;"54001";"1";"Cabecera";1;1;1;1;1
501672;235;1;1;1;82.1008054743409;"54001";"1";"Cabecera";1;1;1;1;1
501673;235;1;1;1;52.0025046288846;"54001";"1";"Cabecera";2;1;1;2;1
501674;235;1;1;1;272.071987245042;"76001";"1";"Cabecera";1;1;2;1;1
501675;235;1;1;1;357.080293202746;"76001";"1";"Cabecera";1;1;2;1;1
501678;235;1;1;1;270.675976898325;"76001";"1";"Cabecera";2;1;3;1;1
501680;235;1;1;1;264.474920407437;"76001";"1";"Cabecera";1;1;3;1;1
501681;235;1;1;1;211.89996624203;"76001";"1";"Cabecera";1;1;3;1;1
501682;235;1;1;1;276.065345813144;"76001";"1";"Cabecera";2;1;3;2;1
501683;235;1;1;1;38.6548677767749;"52001";"1";"Cabecera";1;1;3;1;1
501685;235;1;1;1;39.5162734134292;"52001";"1";"Cabecera";1;1;2;3;1
501687;235;1;1;1;35.1774065299575;"52001";"1";"Cabecera";2;1;2;2;1
501689;235;1;1;1;46.388334378659;"52001";"1";"Cabecera";2;1;2;1;1
501690;235;1;1;1;37.7489620798786;"52001";"1";"Cabecera";2;1;3;1;1
501691;235;1;1;1;41.226423326696;"52001";"1";"Cabecera";2;1;3;1;1
501692;235;1;1;1;39.9843222562893;"52001";"1";"Cabecera";2;1;2;2;1
501693;235;1;1;1;37.8460174336534;"52001";"1";"Cabecera";1;1;2;1;1
501694;235;1;1;1;43.269827712759;"52001";"1";"Cabecera";2;1;2;1;1
501696;235;1;1;1;37.1259890400562;"52001";"1";"Cabecera";1;1;3;2;1
501697;235;1;1;1;35.1774065299575;"52001";"1";"Cabecera";2;1;2;2;1
501699;235;1;1;1;35.8884940964004;"52001";"1";"Cabecera";2;1;2;1;1
501700;235;1;1;1;39.9843222562893;"52001";"1";"Cabecera";2;1;2;2;1
501701;235;1;1;1;43.1102973890459;"52001";"1";"Cabecera";2;1;1;1;1
501702;235;1;1;1;40.7714317465757;"52001";"1";"Cabecera";1;1;2;1;1
501703;235;1;1;1;704.330922219393;"00000";"1";"Cabecera";1;1;1;1;1
501704;235;1;1;1;326.576829268295;"00000";"1";"Cabecera";1;1;1;1;1
501705;235;1;1;1;601.298886937842;"00000";"1";"Cabecera";1;1;1;1;1
501706;235;1;1;1;981.762885640035;"00000";"1";"Cabecera";1;1;1;1;2
501707;235;1;1;1;537.067064959103;"00000";"1";"Cabecera";1;1;1;1;1
501708;235;1;1;1;718.724500497655;"00000";"1";"Cabecera";1;1;1;1;1
501709;235;1;1;1;594.450553685977;"00000";"1";"Cabecera";1;1;1;1;1
501710;235;1;1;1;526.252691282271;"00000";"1";"Cabecera";1;1;1;1;1
501711;235;1;1;1;771.599951010976;"00000";"1";"Cabecera";1;1;1;1;1
501712;235;1;1;1;326.576829268295;"00000";"1";"Cabecera";1;1;1;1;1
501713;235;1;1;1;537.067064959103;"00000";"1";"Cabecera";1;1;1;1;1
501714;235;1;1;1;671.812032754745;"00000";"1";"Cabecera";1;1;1;1;1
501716;235;1;1;1;834.964634604444;"00000";"1";"Cabecera";1;1;1;2;1
501717;235;1;1;1;953.41092707883;"00000";"1";"Cabecera";2;1;3;1;1
501718;235;1;1;1;646.813296821805;"00000";"1";"Cabecera";1;1;1;1;1
501719;235;1;1;1;886.141898287247;"00000";"1";"Cabecera";1;1;1;1;1
501720;235;1;1;1;626.328286738519;"00000";"1";"Cabecera";2;1;3;2;1
501721;235;1;1;1;472.681702451062;"00000";"1";"Cabecera";2;1;3;2;1
501722;235;1;1;1;385.814205820052;"00000";"1";"Cabecera";1;1;3;4;1
501723;235;1;1;1;1199.31958845471;"00000";"1";"Cabecera";1;1;3;1;1
501724;235;1;1;1;822.77721469378;"00000";"1";"Cabecera";1;1;3;1;1
501725;235;1;1;1;830.456596390891;"00000";"1";"Cabecera";1;1;3;1;1
501727;235;1;1;1;887.840085117765;"00000";"1";"Cabecera";1;1;3;1;1
501728;235;1;1;1;827.285252907332;"00000";"1";"Cabecera";1;1;3;1;1
501729;235;1;1;1;822.77721469378;"00000";"1";"Cabecera";1;1;3;1;1
501730;235;1;1;1;326.576829268295;"00000";"1";"Cabecera";1;1;3;2;1
501731;235;1;1;1;683.711775465393;"00000";"1";"Cabecera";1;1;3;2;1
501732;235;1;1;1;503.37395605058;"00000";"1";"Cabecera";2;1;3;2;1
501733;235;1;1;1;774.922509771504;"00000";"1";"Cabecera";1;1;3;1;1
501734;235;1;1;1;66.799822264439;"17001";"1";"Cabecera";2;1;2;1;1
501735;235;1;1;1;57.8833476716733;"17001";"1";"Cabecera";2;1;2;2;1
501736;235;1;1;1;66.799822264439;"17001";"1";"Cabecera";1;1;2;1;1
501737;235;1;1;1;61.5502702167535;"17001";"1";"Cabecera";2;1;2;2;1
501738;235;1;1;1;63.9974624056705;"17001";"1";"Cabecera";2;1;2;2;1
501739;235;1;1;1;302.878158345609;"00000";"0";"Centro poblado y rur";1;1;1;1;1
501740;235;1;1;1;305.362191037671;"00000";"0";"Centro poblado y rur";1;1;1;3;1
501741;235;1;1;1;421.535063147124;"00000";"0";"Centro poblado y rur";1;1;1;3;1
501742;235;1;1;1;254.360054293713;"00000";"0";"Centro poblado y rur";1;1;1;1;1
501743;235;1;1;1;58.043701711774;"66001";"1";"Cabecera";1;1;1;1;1
501744;235;1;1;1;70.4638587653343;"66001";"1";"Cabecera";1;1;1;1;1
501745;235;1;1;1;56.9102096313005;"66001";"1";"Cabecera";1;1;1;1;1
501746;235;1;1;1;72.731072159886;"66001";"1";"Cabecera";1;1;1;1;1
501747;235;1;1;1;71.5973321398158;"66001";"1";"Cabecera";1;1;1;2;1
501748;235;1;1;1;53.5505821267521;"66001";"1";"Cabecera";1;1;1;1;1
501749;235;1;1;1;53.0759354184992;"66001";"1";"Cabecera";1;1;3;1;1
501751;235;1;1;1;58.4416337856869;"66001";"1";"Cabecera";1;1;3;2;1
501752;235;1;1;1;52.3212666992465;"66001";"1";"Cabecera";1;1;3;1;1
501753;235;1;1;1;52.3212666992465;"66001";"1";"Cabecera";1;1;3;1;1
501754;235;1;1;1;49.2821053510108;"66001";"1";"Cabecera";1;1;3;2;1
501755;235;1;1;1;58.8941937780587;"66001";"1";"Cabecera";1;1;3;2;1
501756;235;1;1;1;69.9889641174847;"66001";"1";"Cabecera";2;1;3;2;1
501757;235;1;1;1;53.5505821267521;"66001";"1";"Cabecera";1;1;3;1;1
501758;235;1;1;1;59.1441976770309;"66001";"1";"Cabecera";1;1;3;1;1
501759;235;1;1;1;65.1154396325777;"66001";"1";"Cabecera";2;1;3;2;1
501760;235;1;1;1;60.9960879877301;"66001";"1";"Cabecera";1;1;3;2;1
501761;235;1;1;1;57.3881307133638;"66001";"1";"Cabecera";1;1;3;1;1
501762;235;1;1;1;68.0854648580702;"66001";"1";"Cabecera";1;1;3;2;1
501763;235;1;1;1;61.5228395238916;"66001";"1";"Cabecera";1;1;3;1;1
501764;235;1;1;1;54.8757209012897;"66001";"1";"Cabecera";1;1;3;2;1
501765;235;1;1;1;52.3212666992465;"66001";"1";"Cabecera";1;1;3;2;1
501767;235;1;1;1;944.017872057369;"00000";"1";"Cabecera";2;1;1;2;1
501768;235;1;1;1;712.920919553904;"00000";"1";"Cabecera";2;1;2;1;1
501769;235;1;1;1;313.503157894737;"00000";"1";"Cabecera";2;1;1;2;1
501770;235;1;1;1;494.78749113241;"00000";"1";"Cabecera";2;1;1;1;1
501771;235;1;1;1;712.920919553904;"00000";"1";"Cabecera";2;1;1;1;1
501772;235;1;1;1;1142.04057304711;"00000";"1";"Cabecera";2;1;1;1;1
501773;235;1;1;1;709.839246202104;"00000";"1";"Cabecera";2;1;1;1;1
501774;235;1;1;1;930.51226019584;"00000";"1";"Cabecera";2;1;1;2;1
501775;235;1;1;1;757.34559805305;"00000";"1";"Cabecera";2;1;1;1;1
501776;235;1;1;1;638.632385257516;"00000";"1";"Cabecera";1;1;5;1;1
501780;235;1;1;1;536.107414243149;"00000";"1";"Cabecera";1;1;5;1;1
501781;235;1;1;1;364.448208868834;"00000";"1";"Cabecera";1;1;5;2;1
501782;235;1;1;1;709.839246202104;"00000";"1";"Cabecera";1;1;5;1;1
501783;235;1;1;1;313.503157894737;"00000";"1";"Cabecera";1;1;5;1;1
501784;235;1;1;1;712.920919553904;"00000";"1";"Cabecera";1;1;5;1;1
501786;235;1;1;1;265.302372093672;"05001";"1";"Cabecera";2;1;3;2;1
501787;235;1;1;1;314.008425757185;"05001";"1";"Cabecera";2;1;3;2;1
